symbol,Points,Weight,Cur.,Chg,Chg %,52WK High,52WK Low,Vol,Market Cap
,,,,,,,,,
,-0.07,0.01,8.11,-0.09,-1.10%,15.96,7.1,3.56 Lac,40.55 Cr
OBOY,,,,,,,,,
,,,,,,,,,
,0.13,0.05,32.21,0.15,0.47%,61.29,24.35,1.77 Lac,506.54 Cr
OCTOPUS,,,,,,,,,
,,,,,,,,,
,-0.32,5.41,275.34,-0.04,-0.01%,337.1,174.26,35.51 Lac,118421.76 Cr
OGDC,,,,,,,,,
,,,,,,,,,
,0,0.02,22,0,0%,25.49,15,51.89 K,99.84 Cr
OLPM,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
OML,,,,,,,,,
,,,,,,,,,
,-0.12,0.01,10.11,-0.25,-2.41%,16.79,8.31,1.61 K,75.83 Cr
ORM,,,,,,,,,
,,,,,,,,,
,4.88,0.52,33.68,0.52,1.57%,64.6,32.01,61.11 Lac,3110.85 Cr
PAEL,,,,,,,,,
,,,,,,,,,
,-0.22,0.02,106.47,-2.51,-2.30%,420,85.01,5.78 K,126.27 Cr
PAKD,,,,,,,,,
,,,,,,,,,
,-2.05,0.15,229.6,-5.3,-2.26%,356.68,127,2.03 K,2000.37 Cr
PAKOXY,,,,,,,,,
,,,,,,,,,
P,-0.06,0.03,17.31,-0.06,-0.35%,24.75,15.24,1.1 Lac,399.36 Cr
PAKQATAR,,,,,,,,,
,,,,,,,,,
,-0.3,0.35,14.47,-0.02,-0.14%,22.97,6.89,97.2 Lac,2584.48 Cr
PIBTL,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
PIM,,,,,,,,,
,,,,,,,,,
,0.85,0.65,209,0.45,0.22%,427.5,173,1.16 Lac,4747.41 Cr
PIOC,,,,,,,,,
,,,,,,,,,
,-1.24,0.55,668.31,-2.55,-0.38%,855,435,43.88 K,5973.32 Cr
PKGS,,,,,,,,,
,,,,,,,,,
,-0.24,0.01,125.54,-4.46,-3.43%,330.43,113.11,1.29 K,97.45 Cr
POML,,,,,,,,,
,,,,,,,,,
,-4.04,0.28,17.62,-0.44,-2.44%,22.24,11.71,8.99 Lac,2273.9 Cr
POWER,,,,,,,,,
,,,,,,,,,
,-6.55,4.23,207.12,-0.53,-0.26%,284.6,128.56,48.51 Lac,56356.68 Cr
PPL,,,,,,,,,
,,,,,,,,,
,-0.05,0.01,103.37,-0.63,-0.61%,279,91,1.3 K,82.7 Cr
PPP,,,,,,,,,
,,,,,,,,,
P,0.01,0.01,11.26,0.02,0.18%,16.94,10.25,77.52 K,113.85 Cr
PQGTL,,,,,,,,,
,,,,,,,,,
